Sol,Filename,SCLCK,LTST,Ls_deg_,Comment,RMS_20_60,RMS_100_1000,Gustiness,MeanPressure,SD_Pressure,MeanTemp1,MeanTemp2,MeanTemp3,MeanCleanWS,MeanCleanWD,SD_CleanWS,SD_CleanWD,Incident_WD,GroundTemperature,TurbulentHeatFlux,Downwelling Flux
181,LS__0181_0683012163_616EA2__0070000SCAM05181_001_LUJ01.fits,683011980.83,13:39:37,89.4382,Passive Atmospheric Recording,0.0107173809716031,0.0030055479653019,0.20300645985354782,708.670892857143,0.0793222062461985,248.092976190476,245.454404761905,249.82875,5.18577380952381,83.58125,1.83355467628503,19.6399211612105,108.11525,275.83252,14.603385,19.108
186,LS__0186_0683446315_417EA2__0070000SCAM01186_001_LUJ02.fits,683446132.455,11:02:39,91.657,Passive Atmospheric Recording,0.0029900761282609,0.0002844162958677,0.09375344177851758,708.951190476191,0.079608394253998,241.440179104478,236.729940298507,236.720597014925,3.58867549668874,121.498145695364,1.35745775894829,23.9939482482277,46.014645695364,273.058289,17.1197929,16.211
199,LS__0199_0684631198_368EA2__0070346SCAM06199_001_LUJ01.fits,684631015.52,19:24:21,97.7458,Passive Atmospheric Recording,0.0002305048245257,0.0002095159454349,0.009470007540439338,708.960297619048,0.0308837029526856,221.334761904762,224.218214285714,223.580238095238,2.0797619047619,145.197202380952,0.807092031779288,11.3736969866629,-142.751797619048,215.40506,-0.633706093,15.148
200,LS__0200_0684711476_575EA2__0071172SCAM15367_001_LUJ01.fits,684711290.71,17:06:37,98.1603,Passive Atmospheric Recording,0.0132793461862442,0.0021315743507179,0.1662682275528098,693.764226190476,0.0735213279073269,239.510952380952,238.682023809524,250.654821428571,8.7847619047619,82.4991666666667,1.64681399986666,7.07486386459802,133.847166666667,239.062836,1.06981862,17.428
201,LS__0201_0684796944_421EA2__0071358SCAM05201_001_LUJ01.fits,684796761.545,16:13:09,98.602,Passive Atmospheric Recording,0.0043178441941276,0.0002319363584819,0.10864457482441144,688.849940476191,0.128894409850818,240.917738095238,246.128333333333,242.484226190476,6.24482142857143,68.1823214285714,1.22072373409677,11.2433265887945,22.5293214285714,247.219604,7.99823666,18.828
202,LS__0202_0684859376_414EA2__0071358SCAM01202_001_LUJ01.fits,684859193.535,09:05:57,98.9248,Passive Atmospheric Recording,0.0023218048898653,0.0001993179398068,0.10502869550271927,701.853988095238,0.0733063449962548,225.5475,222.991369047619,238.12125,3.1078431372549,135.50954248366,1.07499200803423,29.1507907570787,91.66884248366,253.917221,12.5034122,15.699
203,LS__0203_0684934265_372EA2__0071556SCAM01203_001_LUJ01.fits,684934082.615,05:20:50,99.3122,Passive Atmospheric Recording,0.0002094288847031,0.0002463399557966,,,0.0,0.0,0.0,0.0,,,,,,253.917221,,15.699
209,LS__0209_0685511482_310EA2__0071836SCAM05209_001_LUJ01.fits,685511299.43,17:24:39,102.307,Passive Atmospheric Recording,0.0065177603975352,0.0010678668967204,0.10916727933952133,685.901964285714,0.0937716613127628,238.077797619048,237.517857142857,247.206369047619,8.88660714285714,93.301369047619,1.60905775617383,4.67521044716318,-142.598630952381,237.660568,0.0397912897,16.481
211,LS__0211_0685653667_398EA2__0072050SCAM01211_001_LUJ01.fits,685653484.555,07:51:14,103.047,Passive Atmospheric Recording,0.0018331873342142,0.0001935479308949,0.11454739171381234,695.213690476191,0.055839371037432,211.600357142857,213.024047619048,228.514464285714,4.2614880952381,157.473333333333,1.29463685976409,9.16309531591061,-78.159666666667,219.450714,2.53705573,14.339
214,LS__0214_0685924103_365EA2__0072050SCAM02214_001_LUJ01.fits,685923917.515,08:58:17,104.458,Passive Atmospheric Recording,0.0004550743832233,0.000192395280776,0.0990972089419846,689.467321428571,0.0872704737352238,237.513214285714,227.722261904762,226.303273809524,2.31909090909091,237.304480519481,0.893585978055975,22.1697261059024,1.66748051948099,232.694,1.46945477,15.93
