LT(hr),Amp(Pa)
10.671,0.546
10.671,0.437
12.034,0.951
12.41,0.32
12.567,0.632
12.567,0.508
14.395,0.4
22.519,0.728
3.089,0.347
13.045,0.773
13.202,0.336
13.312,0.322
13.863,0.514
13.863,0.498
1.951,0.335
2.272,0.354
10.193,0.413
12.07,0.929
3.302,0.329
11.355,1.647
13.152,0.372
13.912,0.529
14.964,2.845
10.944,0.361
14.073,0.346
14.707,0.761
9.536,0.444
12.201,0.392
14.998,0.954
14.166,0.609
15.3,0.849
15.817,0.501
15.817,0.413
17.054,1.186
2.831,0.411
12.068,0.394
16.638,1.206
18.972,0.31
13.114,0.357
13.159,0.674
13.32,0.564
13.384,0.434
17.619,0.582
12.352,0.711
11.771,0.41
13.013,0.383
13.975,0.618
15.275,2.642
12.488,0.683
14.596,0.54
14.596,0.493
11.498,0.801
11.604,0.77
11.775,0.368
13.543,0.48
17.338,0.514
19.07,1.024
12.352,0.352
13.015,0.52
16.01,0.549
16.414,0.518
9.052,0.316
11.165,0.529
11.382,0.746
11.382,0.479
11.686,0.311
11.778,0.524
13.238,0.454
13.699,0.309
15.516,0.345
10.517,0.97
12.243,0.572
12.243,0.388
12.293,0.384
14.151,0.832
14.151,0.455
14.246,0.349
22.835,0.506
11.986,0.803
12.744,1.627
12.996,0.531
13.33,0.847
12.029,0.38
12.06,0.839
13.015,2.382
14.378,0.742
14.609,0.825
14.985,0.704
12.67,1.644
15.149,0.362
15.354,0.567
10.413,0.451
12.195,0.557
12.322,0.515
12.845,0.698
13.035,0.826
14.839,0.303
11.59,0.374
11.641,0.524
13.697,0.621
15.689,0.308
10.316,0.301
12.617,0.398
14.542,3.202
15.042,0.54
11.66,0.884
13.634,0.961
13.899,0.358
12.448,1.547
12.787,1.195
14.581,0.617
22.867,0.648
9.271,0.421
9.721,0.371
9.738,0.379
11.336,0.547
11.549,0.557
11.549,0.495
13.295,0.403
13.927,0.425
13.957,0.788
13.973,1.303
15.1,0.331
11.05,0.472
11.817,0.332
12.343,0.374
12.627,0.51
12.627,0.475
12.976,0.58
13.048,0.306
9.844,0.325
11.375,0.354
11.806,0.373
12.084,0.524
12.242,0.338
13.664,0.359
13.884,0.56
15.531,0.713
15.968,0.699
10.235,1.085
11.008,0.539
11.008,0.497
12.291,0.388
12.508,0.579
13.06,0.348
16.191,0.479
11.07,0.457
11.111,0.411
12.162,0.316
12.24,0.395
12.557,0.37
12.726,0.947
12.955,0.364
13.466,0.314
13.719,0.93
13.897,0.311
15.547,0.321
17.134,0.716
17.411,0.366
17.424,0.816
10.186,0.39
10.456,0.34
10.861,0.524
10.861,0.409
10.951,0.338
12.333,0.548
12.365,0.538
12.576,0.727
12.858,0.4
14.194,0.311
14.415,0.365
11.163,0.812
11.272,0.619
11.712,3.899
11.824,0.516
11.824,0.451
11.902,0.362
12.047,0.308
13.632,1.195
13.824,0.399
15.842,0.42
17.162,0.336
17.676,0.521
17.676,0.323
12.084,0.307
12.267,0.556
12.493,0.792
12.526,0.549
12.738,0.576
12.934,0.532
12.934,0.445
13.012,0.532
13.012,0.463
11.316,0.57
11.866,0.351
11.99,0.523
11.99,0.471
15.68,0.559
15.694,0.406
19.2,0.304
19.284,0.34
10.622,0.59
12.674,0.35
12.8,0.413
12.853,0.405
15.036,0.342
16.281,0.377
9.489,0.508
11.571,0.45
11.624,0.434
11.857,0.394
11.886,1.448
13.302,0.654
13.996,0.365
15.402,0.311
10.386,0.345
12.488,0.384
12.657,0.546
12.657,0.473
12.804,0.73
13.027,0.321
14.475,0.623
14.579,0.345
16.273,0.734
5.873,0.562
9.273,0.366
11.1,0.3
11.43,0.6
13.109,1.481
13.264,0.373
17.507,0.325
21.892,0.563
0.67,0.359
2.301,0.505
10.932,0.923
12.179,0.602
12.763,0.335
14.523,0.602
14.575,0.402
15.008,0.551
5.309,0.527
5.313,0.463
11.434,0.563
12.037,2.398
13.724,1.427
9.091,0.363
12.112,0.324
12.361,3.606
12.771,0.573
12.966,0.333
14.698,0.5
14.698,0.467
1.682,0.336
11.906,0.515
11.906,0.447
11.962,0.372
13.767,1.29
13.926,0.523
13.926,0.375
15.107,0.39
17.503,0.527
12.374,0.491
12.42,0.517
12.737,0.661
12.986,1.908
16.618,0.919
16.754,0.319
11.289,0.622
11.289,0.356
11.578,0.754
11.639,0.35
11.942,0.74
13.4,0.503
13.4,0.501
13.487,0.726
13.851,0.317
15.267,0.306
15.886,0.379
17.329,0.81
17.453,0.95
19.2,0.309
2.533,0.558
10.487,0.479
12.397,0.514
12.478,0.359
12.606,0.582
12.869,0.324
15.038,0.501
16.194,0.34
16.659,1.275
11.852,0.427
11.993,0.505
12.713,0.396
12.793,0.775
12.969,0.662
13.042,0.39
13.489,1.497
13.554,0.725
13.641,0.572
13.686,0.316
13.74,0.405
13.875,0.304
10.841,0.395
12.408,0.422
12.761,0.682
12.838,0.415
14.21,0.546
14.403,0.378
14.677,0.411
14.787,0.503
14.787,0.498
15.026,0.343
16.358,0.337
16.604,0.342
18.889,0.524
11.176,0.442
11.246,0.352
11.319,0.319
11.626,0.53
11.961,0.367
12.093,0.62
13.305,0.349
13.414,0.336
13.624,0.609
13.722,0.638
15.479,0.734
15.727,0.655
10.95,0.52
10.95,0.443
12.75,0.347
12.98,0.332
11.207,0.31
13.451,0.509
13.451,0.464
16.161,0.313
2.387,0.32
10.783,0.478
12.142,0.914
12.304,0.843
12.359,0.508
12.412,0.344
12.877,0.394
14.738,0.313
16.203,0.31
9.849,0.307
11.364,0.358
11.603,0.362
11.654,0.392
12.015,0.351
12.081,1.002
13.291,0.303
15.311,0.482
15.383,0.316
8.912,0.355
10.309,0.5
10.309,0.457
10.874,0.568
10.989,0.472
11.154,0.328
12.146,0.62
12.217,0.357
12.647,1.005
13.011,0.843
13.067,0.362
14.191,0.339
14.306,0.615
14.911,0.759
14.911,0.449
16.522,0.448
11.179,0.5
11.179,0.496
11.272,0.75
11.392,0.73
11.527,2.588
13.485,0.355
15.456,0.322
8.524,0.447
11.118,0.515
11.118,0.423
11.148,0.775
12.162,0.476
12.318,0.339
12.409,1.409
12.616,0.935
12.616,0.48
12.719,2.496
12.964,0.386
13.059,0.696
13.103,0.761
14.75,0.349
14.837,2.6
12.009,0.413
13.557,1.375
15.661,0.39
10.684,0.522
10.684,0.437
10.884,0.436
11.102,0.441
12.191,0.633
12.376,0.514
12.491,0.676
12.538,0.942
12.563,0.52
12.602,0.518
12.682,0.664
12.713,0.546
12.87,0.616
12.87,0.379
12.95,0.406
13.04,0.721
13.193,0.413
14.312,0.41
14.353,0.368
14.471,1.349
14.639,0.335
14.849,0.713
14.921,0.391
16.791,1.066
9.85,0.317
11.413,0.419
11.504,0.646
11.568,0.344
11.762,0.612
11.821,0.42
13.321,0.332
13.375,0.963
13.591,0.309
14.129,0.562
15.687,0.437
19.65,0.347
12.175,0.705
12.289,0.38
12.588,0.765
13.034,0.562
13.179,0.374
14.386,2.149
14.714,0.453
14.758,0.317
15.101,0.348
16.679,0.585
16.881,0.315
11.212,0.428
11.571,0.56
11.872,0.468
12.158,0.387
13.637,0.894
13.831,0.573
14.186,0.369
15.423,0.922
19.264,0.369
10.59,0.774
11.177,0.583
12.33,0.389
12.442,0.456
12.567,0.345
12.645,0.547
12.645,0.423
14.557,0.469
14.708,0.409
14.91,0.536
15.148,0.544
15.148,0.395
16.186,0.626
16.214,0.358
16.321,0.321
10.004,0.364
11.531,0.507
11.696,0.646
11.826,0.309
12.0,0.38
12.036,0.82
12.036,0.386
12.123,0.406
15.253,0.581
15.494,0.795
15.636,0.423
15.893,0.917
15.893,0.42
16.028,0.904
16.153,1.006
