LT(hr),Amp(Pa)
12.278,0.66
12.376,0.305
13.427,0.38
13.459,0.327
13.459,0.327
13.479,0.405
13.856,0.541
13.882,0.419
15.549,0.318
15.624,0.347
9.252,0.301
11.944,0.568
12.471,0.909
12.474,0.436
12.857,0.371
13.317,0.49
13.397,1.474
14.755,0.314
14.992,0.353
20.839,0.504
10.188,0.362
11.49,0.418
12.281,0.623
12.431,0.315
12.655,0.797
13.46,0.305
14.209,1.655
14.236,0.327
15.788,0.408
15.858,0.367
16.29,0.346
11.725,0.79
11.997,0.341
12.024,0.311
12.186,0.556
12.214,0.363
12.24,0.313
13.57,0.325
13.914,0.502
14.11,0.662
14.19,0.458
14.399,0.326
15.736,0.512
16.315,0.386
20.059,0.302
11.48,0.334
12.659,0.334
12.682,0.315
12.884,0.591
13.045,0.586
13.267,0.331
13.331,0.535
13.359,0.318
13.411,0.373
14.445,0.324
15.086,0.425
15.337,0.314
21.219,0.501
11.555,0.354
11.972,0.628
12.132,0.344
12.267,2.399
13.682,0.332
13.733,0.347
13.94,0.334
14.135,0.523
15.783,0.413
15.883,0.341
16.221,0.302
8.492,0.3
10.596,0.378
10.646,0.824
10.646,0.637
11.267,0.332
12.576,0.353
12.616,0.329
12.86,0.511
12.929,0.301
13.351,0.407
13.421,0.352
15.029,0.8
15.056,0.394
15.119,0.46
21.046,0.533
12.479,0.492
12.487,0.5
13.481,0.328
13.598,0.397
14.343,0.39
14.392,0.306
14.551,0.337
14.608,0.347
14.927,0.343
15.358,1.072
14.01,0.318
15.468,0.505
15.503,0.31
16.041,0.321
16.097,0.38
16.413,0.41
21.038,0.585
10.154,0.974
12.306,0.301
13.507,0.356
14.708,0.42
14.806,0.311
15.485,0.395
15.544,0.526
16.426,0.884
21.712,0.666
8.716,0.372
11.215,0.625
11.278,0.315
14.576,0.666
14.686,0.875
14.937,0.316
15.063,0.453
15.382,0.518
15.448,0.41
19.258,0.694
10.007,0.359
11.651,0.3
11.897,0.31
11.947,0.525
12.01,1.191
12.332,0.308
12.387,0.32
12.419,0.334
13.375,0.506
14.278,0.412
15.673,0.844
15.906,0.414
20.024,0.595
9.253,0.569
10.926,0.334
11.159,0.512
11.184,0.468
11.231,0.522
11.323,0.359
12.895,0.561
12.898,0.333
13.046,0.517
13.089,0.756
13.399,0.301
13.46,0.314
14.479,0.401
14.803,0.531
15.182,0.341
15.32,0.357
16.678,0.406
21.051,0.592
9.757,0.775
11.545,0.576
12.08,0.316
12.171,0.341
12.438,0.575
13.459,1.019
13.502,0.327
13.592,0.339
13.614,0.899
13.776,0.459
14.225,0.725
15.587,0.334
15.668,0.305
15.905,1.095
16.388,0.385
19.564,0.312
10.891,0.524
11.176,0.331
11.258,0.413
11.301,0.405
11.387,0.318
11.418,0.373
11.449,0.416
12.801,0.401
13.516,0.328
13.549,0.3
13.583,0.382
13.594,0.356
13.996,0.882
14.011,0.945
15.001,0.303
15.375,0.313
11.501,0.315
11.888,0.49
12.069,0.353
12.314,0.405
12.411,0.42
12.477,0.475
13.498,0.442
14.313,0.372
14.359,0.397
14.368,0.333
15.703,0.4
15.941,0.493
11.132,0.372
11.347,0.308
11.43,0.316
12.67,0.881
12.982,0.597
13.306,0.334
13.378,0.303
13.479,0.343
14.505,1.434
14.548,0.308
14.639,0.506
14.669,0.657
14.759,0.45
14.806,0.301
15.249,0.655
15.368,0.391
15.435,0.383
16.622,0.52
19.314,0.34
11.699,0.323
11.756,0.511
11.81,0.321
11.864,0.305
12.297,0.725
13.638,0.325
13.734,0.75
13.863,0.313
14.03,0.311
14.127,0.348
14.178,0.954
14.243,0.34
14.51,0.31
15.508,0.342
16.364,0.325
10.838,0.312
12.694,0.622
12.797,0.313
12.807,0.308
12.989,0.754
13.019,0.361
13.088,0.312
13.214,0.352
13.293,0.45
13.478,0.695
14.484,0.462
14.701,0.356
15.044,0.351
16.664,0.396
16.846,0.325
9.979,0.317
10.312,0.38
10.354,0.569
11.483,0.503
11.582,0.305
11.841,0.359
12.084,0.331
12.148,0.437
12.342,0.518
12.433,0.562
12.451,0.321
13.538,0.413
13.584,0.544
13.814,0.373
13.852,0.537
14.329,0.742
14.389,0.548
14.435,0.438
15.573,0.322
16.024,0.415
11.193,2.305
11.298,0.422
12.56,0.378
12.617,0.429
13.466,0.325
14.001,0.337
14.588,0.326
11.194,0.48
12.816,0.342
12.879,0.333
14.681,0.414
15.072,0.654
16.512,0.363
2.253,0.304
11.568,0.574
11.693,0.516
11.726,0.343
11.799,0.525
12.051,0.588
12.063,1.156
12.122,3.621
12.259,0.404
12.369,0.503
13.789,0.393
13.873,0.451
13.978,0.844
14.048,1.215
16.081,0.631
16.149,0.372
16.377,0.305
16.42,0.324
16.529,0.326
17.648,0.303
17.721,0.383
18.458,1.215
11.398,0.533
11.423,1.827
12.703,0.365
13.245,0.546
13.253,1.095
13.498,3.004
14.874,0.307
15.076,0.374
15.506,0.64
9.733,0.56
9.737,0.303
11.745,0.54
11.929,0.495
11.939,0.409
11.972,0.355
12.007,0.306
13.778,0.358
14.131,0.316
14.136,0.553
14.322,0.335
14.357,0.348
14.539,0.304
15.974,0.339
10.96,0.343
12.607,0.567
12.755,0.564
12.758,0.42
12.964,0.33
12.998,0.343
13.493,0.361
14.397,0.426
15.002,0.35
15.015,0.305
10.459,0.514
11.858,0.429
11.985,0.337
12.2,0.329
12.468,0.578
12.524,0.445
14.191,0.544
16.122,0.547
10.622,4.869
10.64,0.651
11.215,0.459
11.414,0.309
11.448,0.317
12.561,0.38
12.564,0.315
12.606,0.307
13.187,1.932
13.373,0.455
14.71,0.723
14.819,0.301
14.9,0.343
15.167,0.377
17.048,0.339
9.567,0.416
10.334,0.362
11.861,0.505
11.969,0.466
12.178,0.891
12.24,0.304
19.897,0.341
22.156,0.405
10.797,1.434
11.374,0.308
11.418,0.429
12.742,0.359
12.995,0.516
13.464,0.355
20.755,0.621
12.23,0.973
13.904,0.633
8.998,0.796
10.973,1.38
11.552,0.305
11.716,0.526
11.868,0.305
12.328,0.337
12.842,0.543
12.884,0.389
12.917,0.347
13.108,0.343
13.467,0.688
14.989,1.131
15.228,0.82
13.282,0.355
13.893,0.63
14.015,0.349
15.802,0.318
16.026,0.302
8.811,0.318
8.811,0.318
10.96,0.704
10.96,0.704
11.317,0.366
11.317,0.366
11.541,0.481
11.541,0.51
12.572,0.305
12.572,0.305
13.151,0.431
13.151,0.431
13.369,0.641
13.369,0.641
13.737,0.3
13.737,0.3
13.904,0.336
13.904,0.336
14.051,0.522
14.051,0.565
15.621,1.111
15.621,1.111
15.887,0.506
15.887,0.506
15.887,0.448
20.682,0.559
20.69,0.508
20.69,0.508
10.009,0.438
10.463,0.37
14.821,0.412
15.152,0.33
15.239,0.46
15.343,0.454
15.485,0.329
11.395,0.33
12.717,0.354
14.643,0.317
15.218,0.314
21.089,0.604
10.183,1.047
10.292,0.548
11.728,0.346
12.341,0.868
13.768,0.382
14.104,0.568
13.13,0.387
13.251,0.324
13.347,0.305
19.52,0.325
11.664,0.428
12.135,0.545
13.989,0.424
14.296,0.616
14.842,0.399
14.954,3.036
15.286,0.303
15.433,0.331
15.508,0.325
16.65,0.526
9.51,0.559
10.95,0.814
11.296,0.522
12.693,0.627
12.735,0.602
13.206,0.33
12.066,0.438
12.066,0.562
12.273,0.344
12.366,0.565
13.697,0.37
14.495,0.435
15.881,0.573
20.047,0.352
22.291,0.506
12.679,0.391
13.325,0.315
14.51,0.551
14.726,0.364
15.005,0.321
15.183,0.433
15.279,0.304
16.573,0.311
12.349,0.613
13.598,0.314
13.887,0.347
14.382,0.421
14.411,0.5
14.518,0.335
15.818,0.354
15.956,0.345
10.811,0.424
11.014,0.329
11.125,0.312
11.769,0.43
13.179,0.303
13.221,0.375
13.363,0.394
13.454,0.365
15.289,0.422
19.356,0.329
10.082,0.545
10.361,0.599
10.506,0.519
11.884,0.416
12.247,0.318
12.299,0.308
12.417,0.422
19.611,0.346
21.759,0.548
22.131,0.615
10.62,0.553
11.008,0.357
11.157,0.336
11.201,0.53
11.521,0.327
12.846,1.034
13.168,0.395
14.744,0.317
14.903,0.319
9.912,0.641
11.999,0.765
22.111,0.572
11.206,0.515
12.719,0.395
12.858,0.329
13.002,0.472
13.257,0.447
9.188,0.312
10.149,0.549
10.733,0.307
11.596,0.504
11.652,0.502
12.092,0.549
12.326,0.309
13.645,4.314
13.761,0.309
14.3,0.459
11.121,4.213
12.935,0.827
14.582,0.328
15.264,0.506
16.354,0.515
16.577,0.375
16.577,0.595
9.946,0.415
12.041,0.483
12.453,1.543
13.758,0.378
13.804,1.499
16.0,0.992
9.588,0.34
11.078,0.348
11.235,0.341
11.424,0.486
13.371,0.33
14.851,0.372
14.946,0.657
15.152,0.566
10.284,0.363
10.565,0.453
12.302,0.539
12.308,0.348
12.532,0.494
12.532,0.494
14.422,3.282
9.428,0.926
12.931,0.524
13.058,0.35
13.612,0.302
14.944,1.102
15.493,0.316
17.055,0.515
22.372,0.307
10.154,0.31
10.594,0.533
10.948,0.301
11.006,0.342
11.689,0.332
11.774,0.625
11.935,0.313
12.239,0.387
12.293,4.933
12.328,0.366
12.651,0.778
12.718,0.661
12.979,0.393
13.526,0.362
14.148,0.393
14.199,0.607
16.249,0.301
16.839,0.651
22.488,0.508
10.847,0.322
10.956,0.331
10.956,0.618
11.112,0.577
11.207,0.532
11.241,0.314
11.414,0.553
11.924,0.397
12.249,0.497
12.532,0.301
13.766,0.31
14.146,0.505
14.339,0.442
14.339,0.824
14.376,0.582
14.831,0.615
15.142,0.558
15.308,0.344
15.887,0.325
18.361,0.689
19.659,0.65
4.267,0.383
4.519,0.337
4.551,0.636
4.64,0.367
6.062,0.339
6.144,0.425
6.389,0.398
9.199,0.322
9.613,0.675
10.21,0.894
10.379,0.403
10.532,0.55
10.654,0.648
10.768,0.441
11.511,0.753
11.711,2.217
12.193,0.463
12.231,0.441
12.476,1.253
12.627,0.332
12.914,0.691
13.084,0.313
13.339,0.424
13.339,0.693
13.704,1.773
13.948,0.303
14.061,0.52
14.176,0.558
14.335,0.521
15.771,0.303
16.139,0.823
16.191,0.514
2.263,0.555
5.964,0.304
6.443,0.536
6.611,0.552
6.776,0.604
6.888,0.349
7.058,0.328
7.089,0.312
7.174,0.904
7.313,0.367
7.37,0.385
7.474,0.321
7.564,0.339
7.936,0.338
8.927,0.626
9.002,0.31
9.106,0.349
9.22,0.541
9.416,0.578
10.872,1.133
10.985,2.132
12.661,1.172
12.904,1.084
13.007,1.007
13.052,0.372
13.512,2.081
15.136,0.634
16.854,0.558
23.106,0.561
5.105,0.669
5.155,0.392
5.263,0.372
5.263,0.61
5.431,0.627
5.528,0.323
5.611,0.343
5.679,0.768
5.738,0.848
5.809,0.499
5.841,0.394
5.896,0.382
5.926,0.318
6.147,0.949
6.316,0.845
6.348,0.537
6.503,0.554
6.569,0.414
6.632,0.603
8.176,0.599
9.676,0.312
10.014,1.126
10.201,0.506
10.461,1.779
10.575,1.868
11.129,0.504
11.404,0.366
11.451,0.371
11.767,0.653
12.221,0.565
12.271,0.582
12.406,1.033
12.883,0.461
13.919,0.599
14.163,0.408
16.506,0.702
2.187,0.314
11.133,0.387
11.299,1.103
11.326,0.407
11.468,0.623
11.965,0.512
13.199,0.311
13.397,0.973
13.569,0.67
13.903,0.522
14.512,0.419
14.625,0.675
15.905,0.406
15.905,0.735
17.182,0.564
18.25,0.528
18.564,0.54
21.655,0.694
23.24,0.558
5.189,0.544
10.387,0.532
12.284,0.402
12.347,0.367
15.217,0.421
15.469,0.325
15.568,0.305
18.019,0.512
18.442,0.557
22.307,0.522
11.45,0.335
11.547,0.354
14.059,0.575
14.756,0.543
15.498,1.039
7.253,1.218
7.267,0.301
11.883,1.304
12.182,2.914
13.802,1.56
7.111,0.841
7.114,0.65
11.722,0.319
11.831,0.503
11.852,0.372
11.95,0.5
12.439,0.528
12.515,0.433
12.793,0.304
13.224,0.396
13.485,0.501
13.588,0.816
13.974,0.711
14.088,0.371
14.299,0.543
15.229,0.545
15.483,0.715
16.595,0.306
16.849,0.316
21.638,0.543
5.116,0.303
6.353,0.512
12.253,1.195
12.579,0.321
12.977,0.342
13.044,0.424
13.618,0.307
13.647,0.448
14.011,0.502
14.716,0.324
15.025,2.373
15.143,2.386
15.364,0.51
15.72,0.574
18.289,0.638
19.643,0.369
7.143,0.377
10.86,0.564
11.108,0.456
11.429,0.317
11.612,0.634
12.676,0.318
13.016,0.38
13.077,0.332
13.109,0.345
14.691,0.411
14.868,0.328
14.988,0.806
17.509,0.601
18.959,0.507
21.349,0.719
10.215,0.565
10.305,0.428
11.934,2.029
13.711,0.488
14.305,0.635
14.447,0.314
14.6,0.306
15.827,2.236
5.446,0.354
10.952,0.521
11.379,0.953
13.436,0.38
13.473,0.314
13.762,0.335
13.853,0.342
15.216,1.882
16.302,0.606
11.701,0.346
12.473,0.369
12.932,0.344
13.2,0.52
13.403,1.252
13.48,1.696
14.18,0.472
15.132,0.452
22.371,0.68
11.947,0.463
12.061,0.422
13.544,0.417
14.757,0.312
15.181,0.368
15.515,0.899
15.593,0.302
9.754,0.352
10.046,0.547
11.692,0.35
11.977,0.379
12.837,0.308
13.028,6.345
14.007,0.404
14.128,0.328
14.192,0.381
14.602,0.575
15.907,0.389
15.945,1.126
16.029,1.046
22.126,0.505
5.37,1.065
11.335,0.532
12.248,0.56
12.506,2.55
12.67,0.427
13.877,1.293
14.202,0.324
14.337,0.359
15.463,0.335
15.495,0.373
15.634,0.596
22.237,0.548
5.078,0.415
10.366,0.551
10.436,0.454
11.226,0.309
11.451,0.506
12.449,0.68
12.652,0.509
12.727,0.383
12.939,0.404
13.04,0.382
13.891,0.653
14.108,0.564
14.449,0.52
14.678,0.388
14.94,0.536
15.27,0.625
15.973,0.3
17.005,0.406
21.483,0.511
23.424,0.51
5.017,0.52
5.036,0.719
5.196,0.512
5.565,0.423
9.073,0.435
9.398,0.94
10.456,0.447
10.851,0.643
11.246,0.519
11.447,0.318
11.447,0.642
12.718,0.531
12.895,0.314
13.289,0.318
13.338,0.546
13.502,0.314
13.623,0.621
14.654,0.319
15.351,0.306
18.462,0.536
1.94,0.535
8.041,0.304
8.266,0.322
8.423,0.354
8.587,0.301
9.966,0.597
10.716,2.9
11.18,0.511
11.414,1.135
11.904,0.319
12.334,0.631
12.607,0.678
14.371,0.332
15.029,0.338
15.103,0.784
15.247,0.657
15.287,0.64
15.448,0.953
15.636,0.799
18.44,0.516
22.238,0.515
4.837,1.004
5.843,0.347
5.843,0.606
10.817,0.523
11.078,0.342
11.078,0.632
11.378,0.411
12.146,1.59
12.641,1.307
13.478,0.583
13.774,0.327
14.337,0.381
15.177,0.583
15.403,0.644
15.527,0.315
16.839,0.664
16.879,0.332
21.914,0.568
10.646,0.391
10.945,0.326
11.001,0.421
11.597,0.384
11.986,0.307
12.344,0.831
12.416,0.322
12.454,0.54
12.621,0.623
12.7,0.358
12.78,0.428
12.78,0.539
12.854,0.308
13.343,0.379
13.482,0.331
13.627,0.322
13.774,0.386
14.734,0.318
14.804,0.734
14.843,0.346
14.953,0.369
15.318,0.432
15.395,0.567
15.713,1.14
16.022,0.43
18.521,0.537
18.669,0.407
12.013,0.324
12.211,0.519
12.321,0.372
12.648,0.561
13.006,0.426
13.14,0.943
13.837,0.317
14.538,0.303
15.092,0.345
15.749,0.456
15.839,0.362
16.229,0.879
10.949,0.386
11.15,0.403
11.495,1.031
11.618,0.461
12.499,0.56
12.616,0.507
12.871,0.312
13.553,0.326
13.616,0.337
14.263,0.34
14.444,0.41
14.762,0.304
14.84,0.345
14.974,0.731
21.556,0.569
11.002,0.545
11.082,0.962
11.507,1.22
12.258,0.583
12.587,0.415
12.587,0.595
13.098,0.37
13.391,0.659
13.823,0.35
15.074,0.41
15.24,0.423
19.102,0.701
22.238,0.626
10.056,0.396
10.056,0.396
10.558,0.503
10.872,0.512
11.102,0.434
11.11,1.005
11.421,0.62
12.809,0.427
12.984,0.369
13.014,0.339
13.14,0.354
13.202,0.528
13.544,0.333
13.916,0.514
14.208,1.213
14.322,0.972
14.397,0.385
14.507,0.32
14.552,0.323
14.634,0.611
15.15,0.534
15.569,0.508
15.903,1.163
16.827,0.317
18.787,0.315
22.246,0.698
2.667,0.301
5.507,0.581
5.706,0.515
5.741,0.417
5.793,0.591
6.258,0.321
6.303,0.792
6.421,1.455
6.466,1.654
6.495,0.365
6.561,0.759
6.775,0.556
10.686,0.654
10.815,0.311
11.152,0.32
11.501,0.346
11.621,0.338
12.816,0.345
12.988,0.362
13.188,0.32
13.584,0.33
13.649,0.379
15.431,0.541
4.122,0.443
4.403,0.308
4.528,0.596
5.784,0.685
6.54,0.53
10.156,0.625
10.539,0.394
12.213,0.592
12.252,0.4
12.348,0.509
12.445,0.904
12.653,0.517
12.787,0.321
12.964,0.379
13.239,0.552
13.365,0.311
13.45,0.53
13.677,0.617
13.799,0.327
13.876,0.33
13.956,1.057
14.008,0.462
14.039,0.746
14.294,0.614
14.868,0.313
15.184,0.505
15.6,0.532
16.213,0.354
22.696,0.514
11.379,0.369
12.252,0.349
12.792,0.743
12.963,0.367
13.501,0.439
13.574,0.311
14.049,0.478
14.084,0.3
14.114,0.353
14.367,0.479
14.738,0.626
14.952,0.565
16.448,0.328
17.097,0.384
17.097,0.611
18.996,0.561
2.07,0.356
10.484,0.506
10.847,0.388
12.109,0.353
12.401,0.329
12.54,0.638
13.134,0.638
13.436,0.338
13.565,0.317
13.963,0.35
14.053,0.376
14.223,0.401
14.419,0.513
14.74,0.36
15.118,1.772
17.32,0.359
18.059,0.542
18.747,0.719
6.407,0.538
6.484,0.549
10.686,0.613
11.365,1.145
11.407,1.222
12.674,0.399
12.726,0.423
13.448,0.519
13.762,0.404
15.034,0.388
15.19,0.619
15.248,0.369
16.059,0.361
18.303,0.57
18.686,0.395
21.811,0.603
2.387,0.308
10.579,1.355
10.678,0.917
10.782,0.461
11.155,0.536
12.355,0.335
12.549,0.33
12.564,0.378
12.612,0.417
12.732,0.316
12.858,0.335
13.5,0.344
13.689,0.631
13.893,0.418
14.131,0.403
14.984,0.395
15.185,0.774
15.473,0.392
16.068,0.317
18.41,0.372
18.691,0.309
10.688,0.371
10.816,3.369
10.854,0.532
11.106,0.307
11.325,0.331
11.624,1.279
11.672,0.322
11.703,0.3
12.081,0.308
12.882,0.598
15.201,0.865
15.398,0.698
15.559,1.064
15.929,0.338
16.146,1.006
16.371,0.347
16.409,0.947
16.732,0.589
18.27,0.661
18.717,0.574
18.766,0.365
9.795,0.4
10.519,0.358
10.614,2.328
10.897,0.327
11.038,1.748
11.119,0.835
11.206,0.62
11.239,0.751
11.347,0.662
13.301,0.343
13.367,0.97
14.148,1.852
14.241,0.422
14.626,0.538
14.839,0.461
18.284,0.308
18.472,0.655
18.721,0.574
18.803,0.718
19.213,0.513
22.524,0.592
10.938,1.148
10.967,0.4
11.303,0.454
11.421,0.567
11.449,1.272
11.617,0.342
11.617,0.529
16.985,1.013
17.028,0.477
18.694,0.305
8.534,0.328
8.585,0.318
10.068,0.738
10.466,1.006
10.548,0.301
10.577,0.32
11.918,0.894
12.159,0.668
12.276,0.301
12.366,0.375
12.974,0.316
12.974,0.543
13.237,0.304
14.306,0.536
14.637,0.85
21.496,0.68
21.943,0.573
10.756,1.68
10.835,0.34
11.048,0.347
11.048,0.631
12.923,0.442
12.923,0.806
13.043,0.423
13.097,0.342
13.229,0.59
13.365,0.366
13.717,0.326
13.84,0.71
13.972,0.333
16.299,0.363
16.511,0.532
18.888,0.743
19.781,0.344
7.222,0.521
10.326,0.375
12.167,3.432
14.063,0.74
14.234,0.329
22.447,0.544
5.051,0.684
8.537,0.349
11.304,0.327
11.382,0.513
11.942,0.636
13.009,0.412
13.056,0.312
13.31,0.315
14.834,0.446
14.896,0.453
15.176,0.392
15.477,0.444
23.467,0.511
2.421,0.565
6.023,0.52
10.324,1.718
11.894,0.36
12.512,0.51
13.826,0.384
14.148,0.316
14.32,0.344
14.518,0.311
15.62,0.391
15.706,0.657
17.032,0.837
22.289,0.656
7.042,0.476
7.181,0.843
9.407,0.529
11.005,0.305
11.26,0.32
11.356,0.312
12.791,0.558
12.909,0.325
12.939,0.358
13.228,1.456
13.454,0.523
14.953,0.352
15.816,0.435
16.082,0.502
16.287,0.326
16.473,0.817
6.103,0.343
6.309,0.679
10.101,0.559
10.142,0.314
10.609,0.362
10.653,0.358
12.051,0.329
12.257,0.309
12.257,0.529
12.379,2.924
12.525,0.776
13.738,0.307
14.031,0.553
14.067,0.435
14.183,0.328
14.263,0.309
22.167,0.534
22.545,0.522
2.605,0.543
3.484,0.324
4.554,0.32
4.599,0.579
5.023,0.402
5.132,0.377
5.186,0.325
5.253,1.169
5.322,0.384
7.55,1.285
7.692,0.342
8.738,0.385
10.883,0.385
11.505,0.628
12.102,0.362
13.138,0.388
13.713,0.331
13.761,0.317
13.885,0.355
14.195,0.402
15.798,0.729
15.832,0.344
18.425,0.652
18.635,0.522
19.347,0.713
19.421,0.348
21.978,0.603
22.794,0.912
23.546,0.693
2.099,0.616
4.447,0.311
5.813,0.418
5.9,0.334
6.342,0.326
8.376,1.843
8.635,0.332
10.036,1.502
10.135,0.524
10.566,0.36
12.181,0.456
12.383,0.334
12.411,0.336
14.629,0.358
14.692,0.383
14.816,0.688
15.143,0.744
15.361,0.462
15.361,0.546
15.508,0.5
15.747,0.519
16.1,0.494
21.954,0.613
22.111,0.558
23.013,0.645
4.85,0.324
5.494,0.364
5.597,0.543
7.289,0.53
9.699,0.561
10.902,0.53
11.121,0.367
11.613,0.361
13.182,4.409
13.265,0.541
13.514,0.625
13.608,0.501
14.688,0.309
14.902,0.715
15.051,0.518
15.149,0.339
15.531,0.583
18.764,0.632
21.756,0.691
21.991,1.164
22.151,0.662
5.151,0.31
6.027,0.715
7.701,0.754
7.782,0.565
8.01,0.514
8.071,0.394
8.503,0.352
8.564,0.882
8.615,0.375
8.669,0.354
10.061,0.354
12.509,0.378
13.782,0.302
13.865,0.311
15.823,1.232
15.902,0.84
15.926,0.529
16.663,0.381
21.98,0.316
21.984,0.561
4.969,0.579
4.969,0.621
5.085,0.441
5.491,0.347
10.712,0.695
10.901,0.301
11.27,0.419
11.422,0.358
13.156,0.378
13.531,0.332
15.025,0.301
15.056,0.355
18.968,0.585
22.779,0.543
23.036,0.615
5.586,0.345
5.586,0.563
6.482,0.358
6.586,0.628
10.046,0.313
10.146,0.358
10.413,0.758
12.732,0.993
13.721,0.374
14.545,0.868
15.857,0.338
16.151,0.627
16.339,2.113
16.562,0.546
18.244,0.523
6.781,0.33
6.881,0.514
7.501,1.169
10.786,0.324
11.407,0.322
13.308,0.405
13.858,0.371
14.056,0.32
15.092,0.3
19.764,1.033
19.895,0.783
21.735,0.535
7.094,0.726
7.584,1.104
8.347,0.383
8.394,0.455
8.432,0.637
8.476,0.625
8.569,0.3
8.618,0.306
9.878,0.888
10.429,0.512
12.133,1.38
13.057,0.557
13.113,0.951
13.901,0.338
14.234,0.575
15.901,0.311
21.901,0.748
22.414,0.733
22.551,1.1
22.556,0.31
22.709,0.77
22.91,0.763
2.426,0.342
5.446,0.503
5.855,0.719
7.029,0.506
7.196,0.333
7.509,0.648
10.264,0.367
11.081,0.31
11.321,0.806
12.335,0.509
12.545,0.385
12.766,1.515
13.27,0.457
13.27,0.7
13.92,0.866
14.839,0.444
20.975,0.537
21.953,1.068
22.16,1.053
22.296,0.586
22.503,0.537
6.926,0.426
7.914,0.305
8.042,0.321
9.738,0.342
10.454,2.121
10.966,0.37
11.061,0.383
11.225,0.524
11.324,0.902
12.075,0.452
12.508,0.739
12.53,0.908
12.68,0.331
13.317,0.573
13.702,0.607
13.824,0.65
14.099,0.321
14.437,0.379
16.03,0.34
16.944,0.729
21.636,0.565
22.099,0.75
22.531,0.657
8.692,0.324
10.394,0.334
10.655,0.31
10.83,0.43
10.947,0.59
11.202,0.601
11.748,0.555
12.656,0.315
12.781,0.845
13.017,0.311
13.073,0.356
13.13,0.374
13.238,0.567
15.946,0.413
16.539,0.635
16.637,0.382
18.727,0.4
18.759,0.311
18.831,0.354
18.921,0.688
18.971,0.367
19.007,0.446
19.054,0.354
19.095,0.315
19.122,0.507
19.221,0.445
19.283,0.378
19.385,0.342
21.228,0.567
22.124,0.571
22.606,0.622
5.009,0.319
5.162,0.37
5.25,0.482
6.126,0.406
7.023,0.37
8.121,0.318
8.474,0.409
8.474,0.521
8.552,0.378
8.639,0.304
8.705,0.305
8.798,0.537
9.987,2.093
10.305,0.502
10.355,0.341
10.847,0.509
11.175,1.652
11.222,0.303
11.302,0.307
11.795,0.448
11.915,0.302
12.23,0.335
12.493,0.302
12.609,0.573
12.699,0.346
13.824,0.452
14.238,0.531
15.554,1.257
16.347,0.471
16.578,0.728
18.784,0.502
19.426,0.503
21.501,0.32
21.789,0.388
21.988,0.695
22.174,0.613
22.972,0.517
22.972,0.364
23.068,0.564
23.392,0.59
3.806,0.532
7.124,0.644
7.763,0.313
7.824,0.362
7.83,0.676
7.841,0.301
8.258,0.547
8.505,0.427
8.714,0.301
8.881,0.312
8.892,0.326
8.934,0.4
8.994,0.403
9.166,0.367
9.285,0.314
10.135,0.891
10.344,0.828
10.344,0.386
10.648,0.381
11.992,0.512
13.129,0.402
13.663,1.671
13.958,0.651
14.148,0.367
14.196,1.315
15.12,0.697
15.306,2.175
15.86,0.349
18.833,0.304
19.024,0.616
19.566,0.509
21.838,0.896
5.033,0.531
5.256,0.333
5.311,0.397
7.116,0.45
7.281,0.923
7.608,0.571
7.939,0.681
8.296,0.508
10.704,0.467
10.746,0.464
12.868,0.667
19.148,0.651
19.638,0.756
21.135,0.564
22.787,0.319
23.035,0.616
4.361,0.528
8.342,0.349
8.385,0.423
8.438,0.343
8.491,0.344
8.542,0.552
8.65,0.383
8.71,0.306
8.761,0.306
8.969,0.32
10.543,0.547
10.543,0.332
12.301,0.762
12.417,0.726
12.469,1.436
12.682,0.528
13.847,0.631
14.532,0.421
18.613,0.401
22.53,1.788
6.844,0.622
7.653,0.703
10.276,0.513
10.411,0.327
10.649,1.073
10.9,0.503
11.186,0.368
11.414,0.328
11.578,0.567
12.921,1.314
13.688,0.451
14.967,0.315
19.649,0.795
21.331,0.7
7.744,0.394
7.779,0.526
7.845,0.442
7.889,0.346
7.958,0.306
8.124,0.309
10.124,0.35
10.389,0.746
12.107,0.413
12.632,0.345
13.726,0.406
13.928,0.337
14.011,0.392
18.541,0.612
19.806,0.64
8.726,0.304
9.269,0.517
9.576,0.697
10.74,0.341
10.852,0.322
11.131,0.799
11.198,0.837
12.943,0.518
13.114,0.3
13.151,0.812
13.314,0.647
13.392,0.318
18.897,0.847
19.032,0.61
23.022,0.569
5.435,0.79
7.937,0.666
8.425,0.644
12.102,0.976
12.185,0.367
12.925,0.636
13.002,0.364
13.307,0.317
13.979,0.504
14.249,0.519
14.575,0.507
15.628,0.373
16.312,0.947
18.1,0.317
7.462,0.655
7.912,0.359
8.032,0.38
8.118,0.891
8.196,0.545
8.232,0.323
8.266,0.594
8.358,0.31
8.408,0.568
8.564,0.405
8.611,0.506
8.662,0.579
8.72,0.466
8.771,0.487
8.831,0.476
8.883,0.349
8.954,0.343
9.007,0.481
9.462,0.666
13.337,0.3
13.565,0.519
22.956,0.713
23.055,0.517
7.761,0.701
7.839,0.59
7.918,0.397
7.989,0.67
8.062,0.839
8.133,0.705
8.137,0.476
8.193,0.69
8.276,0.448
8.326,0.514
8.378,0.405
8.464,0.674
8.648,0.519
8.699,0.884
10.312,0.565
10.323,0.891
10.436,0.409
10.602,0.541
10.701,0.403
10.701,0.403
10.874,0.307
11.115,0.619
11.115,0.332
12.399,1.143
13.855,0.391
13.935,0.558
18.43,0.549
20.592,0.545
